Today	Hôm nay
BOOK ATTENTION COMPOSITION	PHÂN BỔ THỜI GIAN CHO SÁCH
BOOK ATTENTION SHARE	TỶ TRỌNG THỜI GIAN ĐỌC
BOOK DETAILS	THÔNG TIN SÁCH
BOOK METADATA	DỮ LIỆU SÁCH
BOOK × PERIOD MATRIX	MA TRẬN SÁCH × THỜI GIAN
BOOKS ACTIVE	SÁCH ĐANG ĐỌC
BUILD DATE	NGÀY ĐÓNG GÓI
Back	Quay lại
Back up all app data	Sao lưu toàn bộ dữ liệu ứng dụng
Best reading days lollipop ranking	Xếp hạng các ngày đọc nhiều nhấ
Book attention by date matrix	Ma trận thời gian đọc sách theo ngày
Book attention composition	Phân bổ thời gian đọc theo sách
Book completion date	Ngày đọc xong sách
Book goals use Finished dates set in Books.	Mục tiêu số sách dùng ngày hoàn thành được đặt trong mục Sách.
Book library	Thư viện sách
Book search query	Từ khóa tìm sách
Books available for manual sessions	Sách có thể ghi phiên thủ công
Books page	Trang sách
COMMIT	MÃ BẢN DỰNG
CURRENT SESSION	PHIÊN HIỆN TẠI
CURRENT STREAK	CHUỖI NGÀY ĐỌC HIỆN TẠI
Cancel	Hủy
Change database	Chọn cơ sở dữ liệu
Change the language of pages, controls and dialogs	Đổi ngôn ngữ các trang, nút điều khiển và hộp thoại
Check for updates	Kiểm tra cập nhậ
Clean unused covers	Dọn bìa sách không sử dụng
Clear metadata fields and type your own book details.	Xóa các trường thông tin để tự nhập chi tiết sách.
Close	Đóng
Color theme	Chế độ màu
Compact mode	Chế độ gọn
Compare from	So sánh từ
Compare trend with	So sánh xu hướng với
Confirm the edition's physical page numbers. The elapsed timer excludes paused time.	Xác nhận số trang của bản sách giấy. Bộ đếm không tính thời gian tạm dừng.
Copy	Sao chép
Copy citation	Sao chép trích dẫn
Copy note with book citation	Sao chép ghi chú kèm nguồn sách
Copy selected note	Sao chép ghi chú đã chọn
Create now	Sao lưu ngay
Ctrl+K search · Ctrl+1–9 navigate · Ctrl+B books · Ctrl+M manual log · Ctrl+Shift+S start selected book · Ctrl+R refresh · Ctrl+N random note · F11 full screen	Ctrl+K tìm kiếm · Ctrl+1–9 chuyển trang · Ctrl+B sách · Ctrl+M ghi thủ công · Ctrl+Shift+S bắt đầu đọc · Ctrl+R làm mới · Ctrl+N ghi chú ngẫu nhiên · F11 toàn màn hình
Cumulative session staircase	Thời gian đọc tích lũy qua từng phiên
Current versus previous period dumbbells	So sánh các chỉ số giữa hai kỳ
Current yearly book goal progress	Tiến độ mục tiêu số sách năm nay
DAILY MINUTES	PHÚT MỖI NGÀY
DAILY NOTE	GHI CHÚ HÔM NAY
DAILY PAGES	TRANG MỖI NGÀY
Data	Dữ liệu
DATA HEALTH	TÌNH TRẠNG DỮ LIỆU
DATA QUALITY	CHẤT LƯỢNG DỮ LIỆU
DATA SOURCE	NGUỒN DỮ LIỆU
Date	Ngày
Display	Hiển thị
DURATION (MINUTES)	THỜI LƯỢNG (PHÚT)
Daily cells through 45 days; weekly cells for longer ranges	Ô theo ngày trong phạm vi 45 ngày; theo tuần khi dài hơn
Daily reading	Hoạt động đọc hằng ngày
Daily reading in selected month	Hoạt động đọc trong tháng đã chọn
Daily reading this month	Hoạt động đọc tháng này
Day of week	Ngày trong tuần
Delete	Xóa
Delete manual session	Xóa phiên thủ công
Delete physical book	Xóa sách giấy
Delete selected	Xóa mục đã chọn
Details	Chi tiế
Discard session	Hủy phiên đọc
Does not change Readest's database.	Không thay đổi dữ liệu của Readest.
Dots at ≤15 sessions · grouped above 15 · middle 50%: 	Dạng điểm khi ≤15 phiên · gộp nhóm khi nhiều hơn · 50% ở giữa:
Durable undo history survives an app restart	Lịch sử hoàn tác được giữ sau khi khởi động lại
EDITION LINK	LIÊN KẾT BẢN SÁCH
Elapsed	Đã trôi qua
End	Kết thúc
Events	Bản ghi hoạt động
Each segment is positioned at its actual start and end time; hover for book and activity-event details.	Mỗi đoạn nằm đúng thời gian bắt đầu và kết thúc; rê chuột để xem sách và chi tiết hoạt động.
Each square is a local calendar day. Select a day to inspect it in Activity.	Mỗi ô là một ngày theo giờ địa phương. Chọn ngày để xem trong Hoạt động.
Edit	Sửa
Edit manual session	Sửa phiên thủ công
Edit physical book	Sửa sách giấy
Edition to keep	Bản sách giữ lại
Elapsed manual reading time	Thời gian đọc thủ công đã trôi qua
Enable this goal	Bật mục tiêu này
Enter manually	Tự nhập
Enter to open  ·  Esc to close  ·  Search pages, books, notes and sessions	Enter để mở · Esc để đóng · Tìm trang, sách, ghi chú và phiên đọc
Every reconstructed session creates one step	Mỗi phiên đọc tạo một bậc tích lũy
Exact comparison data	Số liệu kỳ so sánh
Experimental page metrics	Chỉ số trang thử nghiệm
Export monthly Markdown report	Xuất báo cáo tháng Markdown
Export notes as CSV	Xuất ghi chú CSV
Export notes as JSON	Xuất ghi chú JSON
Export notes as Markdown	Xuất ghi chú Markdown
Export physical library	Xuất thư viện sách giấy
Export selected-range CSV	Xuất CSV của khoảng đã chọn
Export summary JSON	Xuất tổng hợp JSON
F11 toggles · Esc exits	F11 bật/tắt · Esc thoá
FINISHED ON	NGÀY HOÀN THÀNH
FIRST READ	LẦN ĐỌC ĐẦU
FULL SCREEN	TOÀN MÀN HÌNH
Few or many sessions · short or long sessions	Số lượng và thời lượng phiên đọc
Filled cells are days with recorded reading activity.	Ô được tô là ngày có hoạt động đọc.
Filter books	Lọc sách
Filter sessions by exact book	Lọc phiên theo sách cụ thể
Find and filter notes	Tìm và lọc ghi chú
Find notes	Tìm ghi chú
Find the edition on your shelf	Tìm đúng bản sách bạn đang có
Finish	Kết thúc
Finish manual reading session	Kết thúc phiên đọc thủ công
Finish this session	Kết thúc phiên này
Finished dates are stored locally	Ngày hoàn thành được lưu trên máy
For example 19:30	Ví dụ 19:30
Fourteen day reading plan adherence	Mức đạt kế hoạch đọc trong 14 ngày
GOAL HISTORY	LỊCH SỬ MỤC TIÊU
Goal actual target and required pace	Thực tế, mục tiêu và nhịp đọc cần đạ
Goal hit history	Lịch sử đạt mục tiêu
Goal target	Giá trị mục tiêu
Goals page	Trang mục tiêu
Goodreads link (optional)	Liên kết Goodreads (không bắt buộc)
Google Books API key	Khóa API Google Books
Google Books API key (optional)	Khóa API Google Books (không bắt buộc)
Highlight	Đoạn tô sáng
HOW OFTEN YOU READ	TẦN SUẤT ĐỌC
HOW YOU READ	CÁCH BẠN ĐỌC
HOW YOUR READING CHANGES	NHỊP ĐỌC THAY ĐỔI THẾ NÀO
Hide from random picks until tomorrow	Ẩn khỏi lựa chọn ngẫu nhiên đến ngày mai
Hide this note from random picks for seven days	Ẩn ghi chú khỏi lựa chọn ngẫu nhiên trong 7 ngày
Hide this note from random picks for thirty days	Ẩn ghi chú khỏi lựa chọn ngẫu nhiên trong 30 ngày
Historical reading stays in your statistics. Restore a book to read it again.	Lịch sử đọc vẫn được tính vào thống kê. Khôi phục sách để tiếp tục đọc.
How reading time is divided, not merely ranked	Thời gian đọc được phân bổ giữa các sách
How selected-period reading time was divided	Phân bổ thời gian đọc trong kỳ đã chọn
IMPORT CENTER	NHẬP DỮ LIỆU
Import books	Nhập sách
Import physical library	Nhập thư viện sách giấy
Include or exclude this note from random picks	Thêm hoặc loại ghi chú khỏi lựa chọn ngẫu nhiên
Individual marks through 15 sessions; grouped distribution above that	Hiện từng phiên khi có tối đa 15 phiên; gộp nhóm khi nhiều hơn
Keep	Giữ
Keep seven daily complete backups	Giữ các bản sao lưu đầy đủ theo số ngày đã chọn
Keep the next action close.	Sẵn sàng cho lần đọc tiếp theo.
Language	Ngôn ngữ
LAST 14 DAYS	14 NGÀY QUA
LAST 30 DAYS	30 NGÀY QUA
LAST ACTIVITY	HOẠT ĐỘNG MỚI NHẤT
LAST PAGE REACHED	TRANG ĐÃ ĐỌC ĐẾN
LAST READ	LẦN ĐỌC GẦN NHẤT
LIBRARY MAINTENANCE	QUẢN LÝ THƯ VIỆN
LONGEST STREAK	CHUỖI NGÀY ĐỌC DÀI NHẤT
Last 30 days reading streak	Chuỗi ngày đọc trong 30 ngày qua
Last 30 days streak timeline	Dòng thời gian chuỗi đọc 30 ngày
Last page reached after each logged session	Trang đã đọc đến sau mỗi phiên được ghi
Link editions	Liên kết bản sách
Log physical reading that happened without the timer.	Ghi lại lần đọc sách giấy không dùng bộ đếm giờ.
Median	Trung vị
MY NOTE	GHI CHÚ CỦA TÔI
Manual entry means the details are stored only in Readest Stats; no online match is required.	Thông tin tự nhập chỉ lưu trong Readest Stats; không cần tìm thấy sách trên mạng.
Manual reading session	Phiên đọc thủ công
Manual session note	Ghi chú phiên thủ công
Matching book editions	Các bản sách phù hợp
Merge and preserve sessions	Gộp và giữ các phiên đọc
Milestones calculated from recorded activity	Các cột mốc tính từ hoạt động đã ghi
Minimum valid session (seconds)	Phiên hợp lệ tối thiểu (giây)
Month calendar	Lịch tháng
Monthly reading journey this year	Hành trình đọc theo tháng năm nay
Monthly reading volume as compact lollipop glyphs	Khối lượng đọc theo tháng dạng cột điểm
NEXT UP	ĐỌC TIẾP
NOTE (OPTIONAL)	GHI CHÚ (KHÔNG BẮT BUỘC)
NOTE ANALYTICS	PHÂN TÍCH GHI CHÚ
NOTE DETAIL	CHI TIẾT GHI CHÚ
NOTE TYPES	LOẠI GHI CHÚ
NOTES BY BOOK	GHI CHÚ THEO SÁCH
NOTES LIBRARY	THƯ VIỆN GHI CHÚ
NOTES OVER TIME	GHI CHÚ THEO THỜI GIAN
Next month	Tháng sau
Next year	Năm sau
No active books in this period	Chưa có sách được đọc trong kỳ này
No cover available	Chưa có bìa sách
No reading activity in this period	Chưa có hoạt động đọc trong kỳ này
No activity in this period	Chưa có hoạt động trong kỳ này
No sessions yet. Select a book and start the timer.	Chưa có phiên đọc. Chọn sách và bắt đầu bấm giờ.
Not enough reading history yet	Chưa đủ lịch sử đọc
Note source filter	Lọc nguồn ghi chú
Notes by type	Ghi chú theo loại
Notes library page	Trang thư viện ghi chú
Nothing is written until you confirm this preview.	Dữ liệu chỉ được lưu sau khi bạn xác nhận bản xem trước.
Observed active days ranked with exact duration	Xếp hạng ngày đọc cùng thời lượng chính xác
One focused queue combining your plans and recent reading	Danh sách đọc tiếp từ kế hoạch và hoạt động gần đây
One mark per day · a compact signature of the year	Một vạch mỗi ngày · nhịp đọc của cả năm
One mark per day · height and darkness show active reading	Một vạch mỗi ngày · chiều cao và độ đậm thể hiện lượng đọc
Open	Mở
Open Library works without a key. When supplied, Google Books results are searched first.	Open Library không cần khóa. Nếu có khóa, Google Books được tìm trước.
Open books with reading activity in the selected period.	Mở các sách có hoạt động đọc trong kỳ đã chọn.
Open diagnostic logs	Mở nhật ký chẩn đoán
Open folder	Mở thư mục
Open goals, progress, and previous-year results.	Mở mục tiêu, tiến độ và kết quả năm trước.
Open in Notes	Mở trong Ghi chú
Open in Readest	Mở trong Reades
Open library	Mở thư viện
Open note book in Readest	Mở sách của ghi chú trong Reades
Open reconstructed continuous reading sessions.	Mở các phiên đọc liên tục đã tổng hợp.
Open releases	Mở các bản phát hành
Open selected book information	Mở thông tin sách đã chọn
Open the activity calendar and reading trend.	Mở lịch hoạt động và xu hướng đọc.
Open the activity calendar. An active day contains at least one valid reading event.	Mở lịch hoạt động. Ngày đọc có ít nhất một hoạt động hợp lệ.
Open the complete statistics dashboard.	Mở trang thống kê đầy đủ.
Open this title in Books	Mở sách này trong thư viện
Open timer	Mở bộ đếm giờ
Overview page	Trang tổng quan
PAGE METRICS	CHỈ SỐ TRANG
Pages	Trang
PEAK WINDOW	KHUNG GIỜ ĐỌC NHIỀU NHẤT
PERIOD COMPARISON	SO SÁNH THEO KỲ
PERSONAL RECORDS	KỶ LỤC CÁ NHÂN
PHYSICAL BOOK PROGRESS	TIẾN ĐỘ SÁCH GIẤY
PHYSICAL LIBRARY	THƯ VIỆN SÁCH GIẤY
PHYSICAL PROGRESS	TIẾN ĐỘ ĐỌC SÁCH GIẤY
PHYSICAL READING	ĐỌC SÁCH GIẤY
PREVIOUS YEARS	CÁC NĂM TRƯỚC
PRIORITY (1–3)	ƯU TIÊN (1–3)
PRIVACY & DATA HEALTH	QUYỀN RIÊNG TƯ VÀ DỮ LIỆU
Projected	Dự kiến
Page-based values can change with pagination, layout, font size, or reading engine.	Chỉ số trang có thể đổi theo cách phân trang, bố cục, cỡ chữ hoặc trình đọc.
Pause or resume manual reading session	Tạm dừng hoặc tiếp tục phiên đọc thủ công
Personal note	Ghi chú cá nhân
Physical book	Sách giấy
Physical book for the next session	Sách giấy cho phiên tiếp theo
Physical book page progress	Tiến độ theo trang của sách giấy
Physical editions can start a timer here	Có thể bắt đầu bấm giờ cho sách giấy tại đây
Physical session note	Ghi chú phiên sách giấy
Pin or unpin selected book	Ghim hoặc bỏ ghim sách đã chọn
Potential duplicate physical editions	Các bản sách giấy có thể trùng
Previous month	Tháng trước
Previous random note	Ghi chú ngẫu nhiên trước
Previous year	Năm trước
Published	Ngày xuất bản
Publisher	Nhà xuất bản
QUICK START	BẮT ĐẦU NHANH
Quality checks and repair routes	Kiểm tra dữ liệu và hướng xử lý
RANDOM STUDIO	KHÁM PHÁ NGẪU NHIÊN
READEST CONNECTION	KẾT NỐI READEST
READEST NOTE	GHI CHÚ READEST
READING DAYS	NGÀY ĐỌC
READING GOALS	MỤC TIÊU ĐỌC
READING LIFECYCLE	CÁC LƯỢT ĐỌC
READING PATTERNS	THÓI QUEN ĐỌC
READING PLAN	KẾ HOẠCH ĐỌC
READING SOURCE MIX	PHÂN BỔ THEO NGUỒN
READING STATISTICS	THỐNG KÊ ĐỌC
READING STYLE MAP	BẢN ĐỒ PHONG CÁCH ĐỌC
RECENT LIBRARY CHANGES	THAY ĐỔI THƯ VIỆN GẦN ĐÂY
RECENT MANUAL SESSIONS	PHIÊN THỦ CÔNG GẦN ĐÂY
RECENTLY REDISCOVERED	VỪA KHÁM PHÁ LẠI
Rediscover	Khám phá lại
Refresh	Làm mới
Required	Cần đạ
ROLLING MOMENTUM	XU HƯỚNG TRUNG BÌNH TRƯỢT
Random note pool	Nguồn ghi chú ngẫu nhiên
Re-detect	Tìm lại
Read in Readest and refresh to begin your personal reading story.	Đọc trong Readest rồi làm mới để bắt đầu câu chuyện đọc sách của bạn.
Read in Readest and refresh to see statistics here.	Đọc trong Readest rồi làm mới để xem thống kê tại đây.
Readest Stats book icon	Biểu tượng sách Readest Stats
Readest and physical-book time in the selected period	Thời gian đọc Readest và sách giấy trong kỳ đã chọn
Readest data path	Đường dẫn dữ liệu Reades
Readest is always opened read-only. Readest Stats owns a separate transactional SQLite database; manual-reading.json remains a human-readable recovery mirror.	Readest luôn được mở ở chế độ chỉ đọc. Dữ liệu riêng của ứng dụng được lưu tách biệt, kèm bản sao phục hồi dễ đọc.
Readest notes	Ghi chú Reades
Reading fingerprint	Nhịp đọc
Reading status	Trạng thái đọc
Reading style map by active day	Bản đồ phong cách đọc theo ngày
Reading trend	Xu hướng đọc
Recent manual reading sessions	Các phiên đọc thủ công gần đây
Recent sessions	Phiên đọc gần đây
Reconnect	Kết nối lại
Reduce motion	Giảm chuyển động
Refresh Readest notes	Làm mới ghi chú Reades
Refresh behavior	Cách làm mới
Refresh physical book metadata	Cập nhật thông tin sách giấy
Refresh physical metadata	Cập nhật thông tin sách giấy
Refresh the Readest library to look for notes.	Làm mới thư viện Readest để tìm ghi chú.
Remove plan	Xóa kế hoạch
Reset app-owned settings	Đặt lại cài đặt ứng dụng
Restore book	Khôi phục sách
Restore from another file	Khôi phục từ tệp khác
Restore selected	Khôi phục bản đã chọn
Retry	Thử lại
Review	Xem chi tiế
Review before adding	Kiểm tra trước khi thêm
Review books before adding them	Kiểm tra sách trước khi thêm
Rolling reading momentum	Xu hướng đọc trung bình trượ
Rows are Monday through Sunday, columns are hours, and darker cells represent more reading activity. A dot marks multiple sessions.	Hàng là các ngày trong tuần, cột là giờ; ô đậm hơn thể hiện đọc nhiều hơn. Dấu chấm biểu thị nhiều phiên.
Run checks	Chạy kiểm tra
SEARCH BY TITLE, AUTHOR, OR ISBN	TÌM THEO TÊN SÁCH, TÁC GIẢ HOẶC ISBN
SELECTED COMPARISON	KỲ SO SÁNH ĐÃ CHỌN
Session	Phiên đọc
SESSION DISTRIBUTION	PHÂN BỐ PHIÊN ĐỌC
SESSION LENGTHS	THỜI LƯỢNG PHIÊN ĐỌC
SESSION NOTE	GHI CHÚ PHIÊN ĐỌC
SESSION-BY-SESSION ACCUMULATION	TÍCH LŨY QUA TỪNG PHIÊN
SESSIONS / DAY	PHIÊN / NGÀY
SKIPPED ROWS	DÒNG BỎ QUA
Source	Nguồn
Start	Bắt đầu
START DATE	NGÀY BẮT ĐẦU
Start page	Trang bắt đầu
START TIME	GIỜ BẮT ĐẦU
STATISTICS DATABASE	DỮ LIỆU THỐNG KÊ
Save	Lưu
Save book	Lưu sách
Save goals	Lưu mục tiêu
Save personal note	Lưu ghi chú cá nhân
Save plan	Lưu kế hoạch
Save session	Lưu phiên đọc
Save settings	Lưu cài đặ
Search	Tìm kiếm
Search Google Books and Open Library, then verify the details before adding it.	Tìm trong Google Books và Open Library, kiểm tra thông tin trước khi thêm.
Search book title	Tìm tên sách
Search books	Tìm sách
Search everything (Ctrl+K)	Tìm mọi thứ (Ctrl+K)
Search note text, book, or author	Tìm nội dung ghi chú, sách hoặc tác giả
Search online metadata, select the edition you own, then verify its page count.	Tìm thông tin trên mạng, chọn đúng bản sách rồi kiểm tra số trang.
Search pages, books, notes, and sessions	Tìm trang, sách, ghi chú và phiên đọc
Search session book title	Tìm tên sách trong phiên đọc
Search title or author	Tìm tên sách hoặc tác giả
Select a verified snapshot to inspect or restore	Chọn bản sao lưu đã xác minh để xem hoặc khôi phục
Selected day session timeline	Dòng thời gian phiên đọc của ngày đã chọn
Selected-period reading trend	Xu hướng đọc trong kỳ đã chọn
Selected-period trend and accumulation	Xu hướng và tích lũy trong kỳ đã chọn
Session end page	Trang cuối phiên
Session gap (minutes)	Khoảng cách giữa các phiên (phút)
Session length and the books receiving your time	Thời lượng phiên và các sách bạn dành thời gian đọc
Session note (optional)	Ghi chú phiên (không bắt buộc)
Session start page	Trang đầu phiên
Sessions page	Trang phiên đọc
Sessions per day → · average session length ↑	Phiên mỗi ngày → · thời lượng phiên trung bình ↑
Settings page	Trang cài đặ
Show another note from this book	Xem ghi chú khác từ sách này
Show another random note	Xem ghi chú ngẫu nhiên khác
Show daily note	Xem ghi chú hôm nay
Show today's note	Xem ghi chú hôm nay
Skip today	Bỏ qua hôm nay
Snooze 30 days	Ẩn trong 30 ngày
Snooze 7 days	Ẩn trong 7 ngày
Solid line is current; dashed line is comparison. Use left and right arrow keys to inspect exact points.	Nét liền là kỳ hiện tại; nét đứt là kỳ so sánh. Dùng phím trái/phải để xem từng điểm.
Solid line is the selected period; dashed line is the comparison period. Use arrow keys to inspect exact points.	Nét liền là kỳ đã chọn; nét đứt là kỳ so sánh. Dùng phím mũi tên để xem từng điểm.
Sort books	Sắp xếp sách
Start another reading cycle	Bắt đầu lượt đọc mới
Start manual reading session	Bắt đầu phiên đọc thủ công
Start of week	Ngày đầu tuần
Start physical reading session	Bắt đầu phiên đọc sách giấy
Start physical session	Bắt đầu đọc sách giấy
Start re-read	Bắt đầu đọc lại
Start session	Bắt đầu phiên
Statistics reading story page	Trang câu chuyện đọc sách
TARGET DATE	NGÀY MỤC TIÊU
THIS PERIOD	KỲ NÀY
TITLE, AUTHOR, OR ISBN	TÊN SÁCH, TÁC GIẢ HOẶC ISBN
TODAY'S NOTE	GHI CHÚ HÔM NAY
TOP BOOKS BY READING TIME	SÁCH ĐỌC NHIỀU NHẤT
TOTAL NOTES	TỔNG GHI CHÚ
TOTAL READING	TỔNG THỜI GIAN ĐỌC
TOTAL SESSIONS	TỔNG PHIÊN ĐỌC
Target	Mục tiêu
The books that need your attention next	Những cuốn sách nên đọc tiếp
The horizontal axis follows the month selected above	Trục ngang theo tháng đã chọn ở trên
Time is checkpointed locally every 15 seconds.	Thời gian được lưu trên máy mỗi 15 giây.
Time of day	Thời điểm trong ngày
Time pattern metric	Chỉ số phân bố thời gian
Title *	Tên sách *
Tomorrow	Ngày mai
Total pages	Tổng số trang
Trend metric	Chỉ số xu hướng
Trend time grouping	Gộp thời gian trên biểu đồ
Twelve monthly reading glyphs	Biểu đồ đọc trong 12 tháng
UNIQUE NOTES SEEN	GHI CHÚ KHÁC NHAU ĐÃ XEM
Updates	Cập nhậ
Undo book delete	Hoàn tác xóa sách
Undo delete	Hoàn tác xóa
Undo import	Hoàn tác nhập
Undo latest	Hoàn tác gần nhấ
Unlink	Bỏ liên kế
Use 24-hour time	Dùng định dạng 24 giờ
Uses the month currently shown on Activity.	Dùng tháng đang hiển thị trong Hoạt động.
VALID BOOKS	SÁCH HỢP LỆ
Version	Phiên bản
View exact page data	Xem số trang chính xác
View exact trend data	Xem số liệu xu hướng
View source	Xem nguồn
WHEN DURING THE WEEK YOU READ	BẠN ĐỌC VÀO LÚC NÀO TRONG TUẦN
Week hour matrix metric	Chỉ số ma trận tuần và giờ
Week × hour reading matrix	Ma trận đọc theo tuần × giờ
Weekday by hour reading matrix	Ma trận ngày trong tuần theo giờ
What your saved reading is concentrating on	Các nội dung bạn lưu tập trung vào đâu
Where the year's reading time was concentrated	Thời gian đọc trong năm tập trung vào sách nào
YEAR GOAL	MỤC TIÊU NĂM
YEAR HIGHLIGHTS	ĐIỂM NỔI BẬT TRONG NĂM
YEAR READING STRIP	DẢI HOẠT ĐỘNG ĐỌC TRONG NĂM
YEARLY BOOK GOAL	MỤC TIÊU SỐ SÁCH NĂM
YOUR READING STORY	CÂU CHUYỆN ĐỌC SÁCH
YOUR YEAR IN READING	NĂM ĐỌC SÁCH CỦA BẠN
Year in Reading page	Trang tổng kết năm đọc sách
Year reading fingerprint	Nhịp đọc trong năm
Yearly book attention composition	Phân bổ thời gian cho sách trong năm
Yearly book goal actual versus required pace	Mục tiêu sách năm: thực tế và nhịp cần đạ
Your latest physical-reading history	Lịch sử đọc sách giấy gần nhấ
Your reading, remembered	Ghi lại hành trình đọc của bạn
Selected period	Kỳ đã chọn
Days with activity	Ngày có hoạt động
Full year	Cả năm
Not elapsed span	Không phải thời gian trôi qua
Per active day	Mỗi ngày đọc
Reconstructed	Được tổng hợp
Titles with activity	Sách có hoạt động
Typical session	Phiên thường gặp
Within selected year	Trong năm đã chọn
books finished	cuốn đã đọc xong
{0}% consistency	Đều đặn {0}%
All durations	Mọi thời lượng
On Readest changes	Khi Readest thay đổi
30 sec	30 giây
1 min	1 phú
5 min	5 phú
